;2022;2023;2024
Couverture contre les conséquences d’événements catastrophiques;0;29,2;288,3
Accidents corporels - Maladie - maternité;4 259,00;4 531,00;4 898,10
Accidents du travail et maladies professionnelles;2 004,60;1 928,00;2 160,60
Véhicules terrestres à moteur;8 704,60;9 645,40;10 272,20
Responsabilité civile générale;137,3;177;185,2
Incendie et éléments naturels;532,7;2 881,90;691,9
Assurances des risques techniques;91,3;266,8;135,1
Transport;367,1;293,5;437,9
Autres opérations non-vie;1 169,80;1 175,40;640,5
Assistance/Crédit/Caution - Assistance;679,4;749,8;807,3
Assistance/Crédit/Caution - crédit;105,5;93,4;148,7
Assistance/Crédit/Caution - caution;-;-;-
Opérations d'acceptation en réassurance - Acceptations non-vie;129,3;128,5;236,1
Total;18 180,60;21 899,80;20 902,00
;;;
Evolution des prestations et frais payés non-vie (En millions de dirhams);;;
