;2022;2023;2024
Couverture contre les conséquences d’événements catastrophiques;560,8;571,2;637,8
Accidents corporels - Maladie - maternité;5 045,90;5 389,60;5 621,60
Accidents du travail et maladies professionnelles;2 495,00;2 557,00;2 754,10
Véhicules terrestres à moteur;13 726,70;14 370,50;15 172,00
Responsabilité civile générale;703,4;741,5;785,8
Incendie et éléments naturels;2 094,50;2 278,10;2 475,20
Assurances des risques techniques;284,4;459,2;380,5
Transport;883,6;839,9;814
Autres opérations non-vie;949,8;1 096,20;1 134,90
Assistance/Crédit/Caution - Assistance;1 384,10;1 480,60;1 559,00
Assistance/Crédit/Caution - crédit;291,5;289,6;305,2
Assistance/Crédit/Caution - caution;0;0;0
Acceptations non-vie;685,9;761,9;838,7
Total;29 105,60;30 835,30;32 479,10
;;;
Evolution des primes émises non-vie (En millions dirhams);;;
