;2022;2023;2024
Couverture contre les conséquences d’événements catastrophiques;113,1;220,3;214,5
Accidents corporels - Maladie - maternité;4 452,30;4 888,80;5 268,00
Accidents du travail et maladies professionnelles;2 009,50;1 840,60;2 294,20
Véhicules terrestres à moteur;7 998,90;9 260,40;10 276,30
Responsabilité civile générale;225;216,5;267,1
Incendie et éléments naturels;317,7;3 290,80;884,7
Assurances des risques techniques;132,1;268,1;92
Transport;443,3;330,3;251,5
Autres opérations non-vie;1 092,80;1 210,90;586,1
Assistance/Crédit/Caution - Assistance;701,1;756,1;798
Assistance/Crédit/Caution - crédit;75,5;140,4;202,6
Assistance/Crédit/Caution - caution;-;-;-
Acceptations non-vie;375,5;436,8;229,9
Total;17 936,90;22 859,90;21 364,90
;;;
Evolution des charges de prestations non-vie (En millions de dirhams);;;
